Decriptive statistics					
	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
pline	38,878	2.334	1.395	1	15
education_level	33,222	3.803	1.869	1	9
total_income	38,878	117,027	234,015	-4.950e+06	5.550e+06
total_consump	38,878	78,710	95,035	840	3.435e+06
total_asset	38,878	1.356e+06	2.503e+06	-160,819	5.486e+07
total_debt	32,064	96,363	382,323	0	2.024e+07
investment_risk_preference	38,870	1.616	0.675	1	3
happiness	38,550	0.716	0.451	0	1
female	38,878	0.499	0.500	0	1
age	38,840	42.40	21.87	0	117
age2	38,840	2,276	1,893	0	13,689
CPC_member	22,999	0.162	0.368	0	1
rural_household_registration	38,878	0.473	0.499	0	1
work_in_SOE	38,878	0.105	0.306	0	1
financial_industry	38,878	0.0131	0.114	0	1
unemployment	38,878	0.209	0.406	0	1
					
